datetime,open,high,low,close,volume
2026-07-08 00:00:00+00:00,2350.0,2350.112987676619,2349.755759065221,2349.86874674184,188
2026-07-08 00:01:00+00:00,2349.86874674184,2349.9462615164684,2349.847556178506,2349.9250709531343,118
2026-07-08 00:02:00+00:00,2349.9250709531343,2350.1607162284913,2349.5429655949133,2349.7786108702703,135
2026-07-08 00:03:00+00:00,2349.7786108702703,2349.948841743755,2349.7425544697494,2349.912785343234,288
2026-07-08 00:04:00+00:00,2349.912785343234,2349.9470416350464,2349.870903163919,2349.9051594557313,108
2026-07-08 00:05:00+00:00,2349.9051594557313,2349.965975127053,2349.816107367633,2349.8769230389544,264
2026-07-08 00:06:00+00:00,2349.8769230389544,2349.9813329325057,2349.6685089065877,2349.772918800139,132
2026-07-08 00:07:00+00:00,2349.772918800139,2350.038461116866,2349.694109047115,2349.959651363842,155
2026-07-08 00:08:00+00:00,2349.959651363842,2350.09049435403,2349.805204519089,2349.9360475092767,111
2026-07-08 00:09:00+00:00,2349.9360475092767,2350.0954631206923,2349.7112075143023,2349.870623125718,264
2026-07-08 00:10:00+00:00,2349.870623125718,2349.9626466061213,2349.7248148222775,2349.816838302681,109
2026-07-08 00:11:00+00:00,2349.816838302681,2349.9317746315905,2349.7832072710303,2349.89814359994,379
2026-07-08 00:12:00+00:00,2349.89814359994,2350.1637337314596,2349.688373292733,2349.953963424253,125
2026-07-08 00:13:00+00:00,2349.953963424253,2350.050604054902,2349.920367310637,2350.0170079412865,193
2026-07-08 00:14:00+00:00,2350.0170079412865,2350.183103143672,2349.916722044827,2350.0828172472125,199
2026-07-08 00:15:00+00:00,2350.0828172472125,2350.5268411288916,2349.965964337046,2350.409988218725,117
2026-07-08 00:16:00+00:00,2350.409988218725,2350.4458934241566,2350.311993109009,2350.3478983144405,125
2026-07-08 00:17:00+00:00,2350.3478983144405,2350.419783641844,2350.1977576294207,2350.269642956824,238
2026-07-08 00:18:00+00:00,2350.269642956824,2350.3630644888235,2350.0519066656175,2350.145328197617,235
2026-07-08 00:19:00+00:00,2350.145328197617,2350.4456486047793,2349.9391063497765,2350.239426756939,216
2026-07-08 00:20:00+00:00,2350.239426756939,2350.555713153721,2350.0956147760558,2350.411901172838,161
2026-07-08 00:21:00+00:00,2350.411901172838,2350.66545302814,2350.140940857068,2350.39449271237,394
2026-07-08 00:22:00+00:00,2350.39449271237,2350.47680375053,2350.1838297337304,2350.2661407718906,348
2026-07-08 00:23:00+00:00,2350.2661407718906,2350.409800887394,2349.996530262818,2350.140190378321,189
2026-07-08 00:24:00+00:00,2350.140190378321,2350.4329270987073,2349.9468397361507,2350.2395764565367,117
2026-07-08 00:25:00+00:00,2350.2395764565367,2350.3891167565457,2350.2035825482603,2350.3531228482693,208
2026-07-08 00:26:00+00:00,2350.3531228482693,2350.77780747058,2350.0114189722653,2350.436103594576,308
2026-07-08 00:27:00+00:00,2350.436103594576,2350.475411425871,2350.2951224895787,2350.3344303208737,342
2026-07-08 00:28:00+00:00,2350.3344303208737,2350.4547261199336,2350.249602478242,2350.369898277302,103
2026-07-08 00:29:00+00:00,2350.369898277302,2350.5133181738556,2350.2443050112215,2350.387724907775,151
2026-07-08 00:30:00+00:00,2350.387724907775,2350.6440319704507,2350.164828277125,2350.4211353398005,390
2026-07-08 00:31:00+00:00,2350.4211353398005,2350.6201246137134,2350.355284436667,2350.5542737105798,196
2026-07-08 00:32:00+00:00,2350.5542737105798,2350.7983691377262,2350.3443408074163,2350.588436234563,307
2026-07-08 00:33:00+00:00,2350.588436234563,2350.7857374210835,2350.494867350933,2350.6921685374537,334
2026-07-08 00:34:00+00:00,2350.6921685374537,2350.7567111843855,2350.637951656512,2350.702494303444,356
2026-07-08 00:35:00+00:00,2350.702494303444,2350.748009044023,2350.7011561679205,2350.7466709084997,394
2026-07-08 00:36:00+00:00,2350.7466709084997,2350.981197370763,2350.6086063405137,2350.843132802777,109
2026-07-08 00:37:00+00:00,2350.843132802777,2350.892664629985,2350.5709511109753,2350.6204829381836,185
2026-07-08 00:38:00+00:00,2350.6204829381836,2350.8680911410806,2350.324032571641,2350.571640774538,275
2026-07-08 00:39:00+00:00,2350.571640774538,2350.7706083423254,2350.3008074049617,2350.499774972749,121
2026-07-08 00:40:00+00:00,2350.499774972749,2350.505714483639,2350.3962281430395,2350.4021676539296,82
2026-07-08 00:41:00+00:00,2350.4021676539296,2350.547075567138,2350.215224945264,2350.3601328584723,251
2026-07-08 00:42:00+00:00,2350.3601328584723,2350.7386990245145,2350.2099650689474,2350.5885312349897,198
2026-07-08 00:43:00+00:00,2350.5885312349897,2350.9028756341613,2350.1419017334074,2350.456246132579,133
2026-07-08 00:44:00+00:00,2350.456246132579,2350.715378152994,2350.3450520015044,2350.6041840219195,394
2026-07-08 00:45:00+00:00,2350.6041840219195,2350.7277569791595,2350.223500679932,2350.347073637172,229
2026-07-08 00:46:00+00:00,2350.347073637172,2350.535513199982,2350.10747338792,2350.29591295073,197
2026-07-08 00:47:00+00:00,2350.29591295073,2350.5286488186807,2350.088040875437,2350.320776743388,381
2026-07-08 00:48:00+00:00,2350.320776743388,2350.509665304058,2350.2214475731503,2350.4103361338207,264
2026-07-08 00:49:00+00:00,2350.4103361338207,2350.584719094586,2350.344614514518,2350.5189974752834,158
2026-07-08 00:50:00+00:00,2350.5189974752834,2350.730452972105,2350.4287556573995,2350.640211154221,245
2026-07-08 00:51:00+00:00,2350.640211154221,2350.7341260109156,2350.4930146348634,2350.586929491558,327
2026-07-08 00:52:00+00:00,2350.586929491558,2350.6367482342985,2350.4664699350606,2350.516288677801,179
2026-07-08 00:53:00+00:00,2350.516288677801,2350.790272380745,2350.373393238587,2350.647376941531,162
2026-07-08 00:54:00+00:00,2350.647376941531,2350.798396285137,2350.467127994042,2350.618147337648,98
2026-07-08 00:55:00+00:00,2350.618147337648,2350.6709115299877,2350.3704788836853,2350.423243076025,260
2026-07-08 00:56:00+00:00,2350.423243076025,2350.514312854812,2350.159038874599,2350.250108653386,358
2026-07-08 00:57:00+00:00,2350.250108653386,2350.455461582071,2349.904298637628,2350.109651566313,102
2026-07-08 00:58:00+00:00,2350.109651566313,2350.2236431332344,2350.0716060735963,2350.1855976405177,293
